acc is 0.5989361702127659
+--------------+------------+--------+-------------+
|    Label     | Precission | Recall | Specificity |
+--------------+------------+--------+-------------+
|   knitted    |    0.8     | 0.508  |    0.996    |
|   cracked    |    0.0     |  0.0   |    0.979    |
|    porous    |   0.375    |  0.6   |    0.987    |
|  chequered   |   0.675    | 0.692  |    0.993    |
|    dotted    |    0.15    | 0.667  |    0.982    |
| honeycombed  |    0.9     | 0.947  |    0.998    |
|  stratified  |    0.95    | 0.731  |    0.999    |
|  interlaced  |   0.825    | 0.647  |    0.996    |
| crystalline  |   0.525    | 0.677  |     0.99    |
|    matted    |    0.75    | 0.638  |    0.995    |
|    veined    |   0.775    | 0.564  |    0.995    |
|  cobwebbed   |    0.85    | 0.442  |    0.997    |
|   braided    |    0.65    | 0.317  |    0.992    |
|   waffled    |    0.85    | 0.694  |    0.997    |
|  spiralled   |    0.9     | 0.621  |    0.998    |
|    gauzy     |    0.7     | 0.683  |    0.993    |
|   blotchy    |    0.6     | 0.585  |    0.991    |
|  zigzagged   |   0.325    |  0.65  |    0.985    |
| crosshatched |    0.9     | 0.837  |    0.998    |
|  sprinkled   |    0.5     |  0.8   |    0.989    |
|    swirly    |   0.875    | 0.636  |    0.997    |
|    frilly    |    0.7     |  0.8   |    0.993    |
|   studded    |    0.4     | 0.471  |    0.987    |
|    woven     |    0.2     | 0.471  |    0.983    |
|    lined     |    0.05    |  0.25  |     0.98    |
|  perforated  |   0.675    | 0.643  |    0.993    |
|   flecked    |   0.925    | 0.569  |    0.998    |
|     grid     |   0.725    | 0.604  |    0.994    |
|   fibrous    |   0.125    | 0.263  |    0.981    |
|   lacelike   |   0.575    | 0.411  |    0.991    |
|    bumpy     |   0.375    | 0.536  |    0.987    |
|    banded    |    0.2     | 0.364  |    0.983    |
|    scaly     |   0.575    | 0.719  |    0.991    |
|    pitted    |   0.775    | 0.738  |    0.995    |
|   stained    |    0.05    | 0.333  |     0.98    |
|    meshed    |    0.25    | 0.455  |    0.984    |
|   smeared    |   0.475    | 0.475  |    0.989    |
| polka-dotted |   0.475    | 0.268  |    0.988    |
|   grooved    |    0.8     | 0.593  |    0.996    |
|    bubbly    |    0.75    | 0.909  |    0.995    |
|   pleated    |    0.8     | 0.744  |    0.996    |
|   freckled   |    0.65    | 0.634  |    0.992    |
|   paisley    |    0.7     | 0.757  |    0.993    |
|   marbled    |    0.85    |  0.68  |    0.997    |
|   striped    |    0.55    | 0.579  |     0.99    |
|   potholed   |    0.65    | 0.578  |    0.992    |
|   wrinkled   |   0.975    |  0.83  |    0.999    |
+--------------+------------+--------+-------------+
